PlacemarkName,Kelurahan,Kecamatan,Kota,Provinsi,"Center Latitude","Center Longitude","Center Polygon","Status Polygon",Polygon
BLOOTO,,,,,,,,,"POLYGON((112.4204000021595 -7.480400000159078, 112.4206000005906 -7.480400000159078, 112.4206999980075 -7.479700000254013, 112.4206999980075 -7.479400000808597, 112.4206999980075 -7.479300000693684, 112.4206999980075 -7.479200001478091, 112.4208000008205 -7.478999998550308, 112.4208999982374 -7.478000000998463, 112.4206999980075 -7.476199999829305, 112.4202000010303 -7.476599998490315, 112.4200000016998 -7.47639999915981, 112.4199000006855 -7.476199999829305, 112.4197999978727 -7.475800000268977, 112.4197000013551 -7.475499998125599, 112.4197000013551 -7.475299998795094, 112.4197000013551 -7.473799998870049, 112.4197000013551 -7.473300000094128, 112.4185999991917 -7.473200000878535, 112.4189999996513 -7.469700002252523, 112.4189000022344 -7.469599999439595, 112.4188000003209 -7.469500000224001, 112.4184000007605 -7.4697999987701, 112.4182000023293 -7.469900001583029, 112.4176999999561 -7.470400002157589, 112.4175000006255 -7.470499999574542, 112.417399998712 -7.470600001488094, 112.4173000003957 -7.470600001488094, 112.4169000008354 -7.4708000008186, 112.4156999994565 -7.471299998695201, 112.4140999985171 -7.472199998830092, 112.4140000011002 -7.472199998830092, 112.4136000015399 -7.472000000398907, 112.413100000066 -7.471399999709433, 112.4117999994714 -7.472000000398907, 112.4112999997963 -7.472300000743644, 112.41120000148 -7.473099998964984, 112.4101999994315 -7.475600000039151, 112.4101999994315 -7.475800000268977, 112.4081999989319 -7.47639999915981, 112.4063000003458 -7.47740000120831, 112.4059999991017 -7.477899997286215, 112.4057999997713 -7.478900000234034, 112.4057999997713 -7.479099999564539, 112.4057999997713 -7.479200001478091, 112.4065999988919 -7.479400000808597, 112.4074999990268 -7.479200001478091, 112.4076999983573 -7.479099999564539, 112.4076000018397 -7.482000001098356, 112.4076999983573 -7.484299998345421, 112.4078000002709 -7.484499998575245, 112.4079000021844 -7.487199998979974, 112.4079000021844 -7.488499997775876, 112.4079000021844 -7.490099999614472, 112.4079000021844 -7.490899998735131, 112.4076999983573 -7.491599999539517, 112.4076000018397 -7.491700001453125, 112.4076999983573 -7.491700001453125, 112.4078000002709 -7.491700001453125, 112.4079000021844 -7.491700001453125, 112.4079999987021 -7.491700001453125, 112.4081000024142 -7.491700001453125, 112.4089000006355 -7.491700001453125, 112.4101000020146 -7.491799999769341, 112.4103999996613 -7.491799999769341, 112.4121999999311 -7.491799999769341, 112.4136000015399 -7.491899999884311, 112.4136000015399 -7.491799999769341, 112.4134000022094 -7.490600001088354, 112.413499998727 -7.48999999860024, 112.4136000015399 -7.488899998235524, 112.4136000015399 -7.488400001258242, 112.4136000015399 -7.488200001927736, 112.4140000011002 -7.488200001927736, 112.4140000011002 -7.487599998540305, 112.414299998747 -7.48569999995425, 112.4151000005656 -7.485900000184074, 112.4151999979825 -7.485500000623745, 112.4151999979825 -7.484999999149863, 112.4151999979825 -7.484700000603766, 112.4151999979825 -7.484099999014916, 112.4151999979825 -7.483899999684412, 112.4151999979825 -7.483500000124081, 112.4153000007955 -7.482999997750881, 112.4151999979825 -7.482799998420376, 112.4151999979825 -7.482599999989191, 112.4151999979825 -7.481800000868532, 112.4151999979825 -7.480700001403136, 112.4153000007955 -7.48000000059875, 112.417399998712 -7.480400000159078, 112.4184000007605 -7.480500002072631, 112.4184000007605 -7.480300001842807, 112.4191999989819 -7.480400000159078, 112.4199000006855 -7.480500002072631, 112.4200000016998 -7.480400000159078, 112.4202999984473 -7.480400000159078, 112.4204000021595 -7.480400000159078))"
BLOOTO,BLOOTO,"PRAJURIT KULON","KOTA MOJOKERTO","JAWA TIMUR",-7.4807,112.41335,"POINT(112.41335 -7.4807)","Polygon Tersedia",
GEDONGAN,,,,,,,,,"POLYGON((112.4416999996563 -7.462999999949261, 112.4413999993116 -7.462699997805828, 112.4413999993116 -7.462600000388875, 112.4411999990817 -7.462400000159051, 112.4411000016648 -7.462199999929226, 112.4411000016648 -7.461599998340431, 112.4411000016648 -7.461500000024159, 112.4409999997513 -7.46109999956451, 112.4409999997513 -7.460999999449598, 112.4409999997513 -7.460299999544531, 112.4409999997513 -7.460200000328939, 112.4406999985072 -7.460299999544531, 112.4404000008604 -7.460299999544531, 112.4402000006306 -7.460400000558765, 112.4399000002859 -7.460400000558765, 112.4397000000561 -7.460400000558765, 112.4395999981424 -7.460400000558765, 112.4395999981424 -7.460499997076397, 112.4395999981424 -7.460599999889268, 112.4395999981424 -7.460900000234004, 112.4395000007255 -7.460900000234004, 112.4393000004957 -7.460900000234004, 112.4391999985821 -7.460900000234004, 112.4391000011651 -7.460900000234004, 112.4387999990217 -7.460900000234004, 112.4384000012601 -7.460900000234004, 112.4380999991167 -7.460900000234004, 112.4380000016997 -7.460900000234004, 112.4380000016997 -7.460800000119094, 112.4378000014699 -7.460200000328939, 112.4376000021394 -7.460400000558765, 112.4373999983123 -7.460400000558765, 112.4371999989818 -7.460599999889268, 112.436999998752 -7.46070000180282, 112.4367999994215 -7.460800000119094, 112.4367999994215 -7.460900000234004, 112.4369000022343 -7.460999999449598, 112.4369000022343 -7.461199999679422, 112.4369000022343 -7.461300000693656, 112.4369000022343 -7.461500000024159, 112.4367999994215 -7.461500000024159, 112.4367000020045 -7.461500000024159, 112.4365000017747 -7.461500000024159, 112.4360000003009 -7.461599998340431, 112.4360000003009 -7.461399998110608, 112.4358999992866 -7.461300000693656, 112.4358999992866 -7.461399998110608, 112.4356000016398 -7.461500000024159, 112.4354000005106 -7.461700000253984, 112.4353000003957 -7.461700000253984, 112.4353000003957 -7.461800001268216, 112.4353000003957 -7.462099998914994, 112.4353000003957 -7.462999999949261, 112.4362000005307 -7.462999999949261, 112.4370999997662 -7.462999999949261, 112.4371999989818 -7.462999999949261, 112.4371999989818 -7.463100000963493, 112.4371999989818 -7.463399999509592, 112.4371999989818 -7.4637999981706, 112.4371999989818 -7.464000001997705, 112.4372999999961 -7.464200001328209, 112.4375000002259 -7.464200001328209, 112.4376000021394 -7.464200001328209, 112.4376999995563 -7.464200001328209, 112.4378000014699 -7.464200001328209, 112.4380999991167 -7.464200001328209, 112.4384000012601 -7.464200001328209, 112.438499998677 -7.464200001328209, 112.4387000016048 -7.464200001328209, 112.4389999992516 -7.464200001328209, 112.439399998812 -7.464200001328209, 112.4395000007255 -7.464200001328209, 112.4395000007255 -7.464499998075667, 112.4395000007255 -7.464600001787858, 112.4395000007255 -7.464699998305491, 112.4395000007255 -7.464800000219042, 112.4395000007255 -7.464999999549548, 112.4395000007255 -7.46510000236242, 112.4395000007255 -7.465300000793604, 112.4398000019696 -7.465300000793604, 112.4400000004008 -7.465300000793604, 112.4401000005157 -7.465199999779373, 112.4401000005157 -7.464499998075667, 112.4401000005157 -7.463899999184832, 112.4401000005157 -7.4637999981706, 112.4401000005157 -7.463500000523823, 112.4401000005157 -7.463399999509592, 112.4401000005157 -7.463199999279766, 112.4401000005157 -7.463100000963493, 112.4401000005157 -7.462900002532308, 112.4408000004207 -7.462999999949261, 112.4416999996563 -7.462999999949261))"
GEDONGAN,GEDONGAN,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.46275,112.4385,"POINT(112.4385 -7.46275)","Polygon Tersedia",
"GUNUNG GEDANGAN",,,,,,,,,"POLYGON((112.4614999999261 -7.473099998964984, 112.4613999989118 -7.473099998964984, 112.4613000005957 -7.473099998964984, 112.461199998682 -7.473099998964984, 112.4611000003657 -7.473099998964984, 112.4609999993515 -7.473099998964984, 112.4609000010353 -7.473200000878535, 112.4607000017048 -7.473200000878535, 112.460499998777 -7.473200000878535, 112.4600999992166 -7.473200000878535, 112.4598999989868 -7.473200000878535, 112.4598999989868 -7.473099998964984, 112.4598999989868 -7.472800001318205, 112.4595000003258 -7.472800001318205, 112.4589999988519 -7.472899999634478, 112.4585000009753 -7.472899999634478, 112.4579999995015 -7.473000001548031, 112.4574000015099 -7.473000001548031, 112.4572999995963 -7.473000001548031, 112.4574999998262 -7.472699999404653, 112.4579999995015 -7.472000000398907, 112.4586000001909 -7.471500001622986, 112.4591000007655 -7.471099998465377, 112.4593000000959 -7.4708000008186, 112.45960000134 -7.470499999574542, 112.4598000015699 -7.470100000913533, 112.4598999989868 -7.469700002252523, 112.4600000009003 -7.469300001792817, 112.4600999992166 -7.468899998635209, 112.4600999992166 -7.468600001887751, 112.4600999992166 -7.468299998845055, 112.4600999992166 -7.46810000041387, 112.4600999992166 -7.467500001523035, 112.4600999992166 -7.466899999034922, 112.4600999992166 -7.466699998805097, 112.4600999992166 -7.46640000115832, 112.4600999992166 -7.466300000144089, 112.4600000009003 -7.466300000144089, 112.4598999989868 -7.466300000144089, 112.4598000015699 -7.466200000928495, 112.4595000003258 -7.466200000928495, 112.4591999981824 -7.466200000928495, 112.4587999995214 -7.466200000928495, 112.4582000015299 -7.466200000928495, 112.4579999995015 -7.466200000928495, 112.4578000010703 -7.466200000928495, 112.4574000015099 -7.466300000144089, 112.4569999992516 -7.466300000144089, 112.4563000002458 -7.46640000115832, 112.4559999999011 -7.46640000115832, 112.4557999996713 -7.46640000115832, 112.4554999993265 -7.466499999474593, 112.4543000015449 -7.466699998805097, 112.4538000000709 -7.466800001617969, 112.4536000016399 -7.466800001617969, 112.4533999996113 -7.466800001617969, 112.4528999999361 -7.466800001617969, 112.4525000003757 -7.466899999034922, 112.4521000017147 -7.466899999034922, 112.4519999998012 -7.466899999034922, 112.4519000023843 -7.466899999034922, 112.4519000023843 -7.467000000049154, 112.451499997428 -7.467099998365426, 112.451499997428 -7.467399999609484, 112.4501000012151 -7.467500001523035, 112.4499999993016 -7.467099998365426, 112.4499000009853 -7.466699998805097, 112.4499000009853 -7.466499999474593, 112.4497999990717 -7.46640000115832, 112.4497999990717 -7.466099999014943, 112.4497999990717 -7.465999998000711, 112.4494999978277 -7.466099999014943, 112.4493999995115 -7.466200000928495, 112.4490999991667 -7.46640000115832, 112.4489999999511 -7.466499999474593, 112.4486000012901 -7.466599999589505, 112.4483000000461 -7.466699998805097, 112.4483000000461 -7.466800001617969, 112.4481000007155 -7.467000000049154, 112.4481000007155 -7.467099998365426, 112.4479000004857 -7.467399999609484, 112.4479000004857 -7.467500001523035, 112.4477999994715 -7.46770000085354, 112.4476000001409 -7.468600001887751, 112.4475000018247 -7.469300001792817, 112.4473999999111 -7.469700002252523, 112.4473999999111 -7.4697999987701, 112.4475000018247 -7.4697999987701, 112.4481999990318 -7.469900001583029, 112.4486000012901 -7.469999998100604, 112.4485000002759 -7.470400002157589, 112.4486000012901 -7.470499999574542, 112.4485000002759 -7.471399999709433, 112.4483000000461 -7.472300000743644, 112.4493999995115 -7.472199998830092, 112.4497999990717 -7.472199998830092, 112.4510000013501 -7.472000000398907, 112.4510000013501 -7.472399998160597, 112.4510000013501 -7.473099998964984, 112.4510000013501 -7.473200000878535, 112.451499997428 -7.473200000878535, 112.451499997428 -7.47339999930972, 112.451499997428 -7.473600000438864, 112.451499997428 -7.473700002352417, 112.4516000002409 -7.473900001682921, 112.4519999998012 -7.473900001682921, 112.4521000017147 -7.473900001682921, 112.4521999991317 -7.473999999099874, 112.4523000010453 -7.474200000229018, 112.4523000010453 -7.474399998660203, 112.4523000010453 -7.474599998890028, 112.4523000010453 -7.474900000134084, 112.452599998692 -7.474900000134084, 112.4527000006055 -7.474800001817812, 112.4528999999361 -7.474900000134084, 112.4528999999361 -7.475099998565271, 112.4528999999361 -7.475400001607966, 112.4527999971232 -7.475800000268977, 112.4527999971232 -7.475999998700161, 112.4527999971232 -7.476300000843537, 112.4527999971232 -7.476700000403866, 112.4527999971232 -7.476799997820818, 112.452599998692 -7.476799997820818, 112.4525000003757 -7.476799997820818, 112.4523999984622 -7.476799997820818, 112.4523000010453 -7.476799997820818, 112.4523000010453 -7.476900000633691, 112.4521999991317 -7.477100000863572, 112.4521000017147 -7.477200001877804, 112.4519999998012 -7.477499999524525, 112.4519999998012 -7.477600001438134, 112.4519999998012 -7.477699997955709, 112.4519000023843 -7.47780000076864, 112.4519000023843 -7.477899997286215, 112.4516000002409 -7.478999998550308, 112.451499997428 -7.479300000693684, 112.4514000018097 -7.479499999124869, 112.4514000018097 -7.479600000139101, 112.4512000006805 -7.480199999929255, 112.4510000013501 -7.480999999949233, 112.4508999994365 -7.481299999394651, 112.4508999994365 -7.481499998725155, 112.4508000020195 -7.4816999998543, 112.4508000020195 -7.481899999184805, 112.4512999989968 -7.482000001098356, 112.4514000018097 -7.482000001098356, 112.4516000002409 -7.482000001098356, 112.4517999995713 -7.48209999851531, 112.4519000023843 -7.48209999851531, 112.4521000017147 -7.48209999851531, 112.4521999991317 -7.48209999851531, 112.4523999984622 -7.482200001328181, 112.4525000003757 -7.482200001328181, 112.452599998692 -7.482299998745134, 112.4530000018497 -7.482299998745134, 112.4531000001659 -7.482299998745134, 112.4533999996113 -7.482299998745134, 112.4538000000709 -7.482399999759365, 112.4550999988669 -7.482599999989191, 112.4554999993265 -7.482599999989191, 112.4556999986571 -7.482599999989191, 112.4557999996713 -7.482599999989191, 112.4558999988869 -7.482599999989191, 112.4560999982174 -7.482700001003423, 112.4562000001309 -7.482700001003423, 112.4563000002458 -7.482700001003423, 112.4563999994615 -7.482700001003423, 112.4567000007055 -7.482799998420376, 112.4567999981225 -7.482799998420376, 112.4569000018347 -7.482799998420376, 112.4571999985822 -7.482799998420376, 112.4571999985822 -7.482700001003423, 112.4572999995963 -7.482700001003423, 112.4574000015099 -7.482599999989191, 112.4574999998262 -7.482599999989191, 112.4576999991567 -7.482599999989191, 112.4578000010703 -7.482599999989191, 112.458099998717 -7.482799998420376, 112.4585000009753 -7.482900001233247, 112.4586000001909 -7.482900001233247, 112.4589999988519 -7.482900001233247, 112.4604000004607 -7.483100001463072, 112.460499998777 -7.483100001463072, 112.460499998777 -7.482900001233247, 112.4605999997912 -7.482200001328181, 112.4605999997912 -7.481899999184805, 112.4607999991217 -7.478999998550308, 112.4607999991217 -7.47870000090353, 112.4613000005957 -7.47339999930972, 112.4613999989118 -7.473200000878535, 112.4614999999261 -7.473099998964984))"
"GUNUNG GEDANGAN","GUNUNG GEDANGAN",MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.47455,112.45445,"POINT(112.45445 -7.47455)","Polygon Tersedia",
JAGALAN,,,,,,,,,"POLYGON((112.4382000010303 -7.46640000115832, 112.4370999997662 -7.46640000115832, 112.4363999998611 -7.46640000115832, 112.4351000010653 -7.466300000144089, 112.4351000010653 -7.466599999589505, 112.4351000010653 -7.466699998805097, 112.4351000010653 -7.467399999609484, 112.4349999991517 -7.46770000085354, 112.4349999991517 -7.467799998270493, 112.4349999991517 -7.46810000041387, 112.4349999991517 -7.468299998845055, 112.4349999991517 -7.468800001218256, 112.4348999999361 -7.469199999879265, 112.4348999999361 -7.469900001583029, 112.4347999989219 -7.470300001143357, 112.4347999989219 -7.471000001048424, 112.4347999989219 -7.471299998695201, 112.4347999989219 -7.471799999269763, 112.4356000016398 -7.471900001183315, 112.4367000020045 -7.471900001183315, 112.4369000022343 -7.471900001183315, 112.4369000022343 -7.472199998830092, 112.4373999983123 -7.472300000743644, 112.4376999995563 -7.472399998160597, 112.4376999995563 -7.472600001088381, 112.4384000012601 -7.472600001088381, 112.4393000004957 -7.472600001088381, 112.4397000000561 -7.472600001088381, 112.4397000000561 -7.472300000743644, 112.4395999981424 -7.471099998465377, 112.4395999981424 -7.469999998100604, 112.4395999981424 -7.469900001583029, 112.4395999981424 -7.4697999987701, 112.4391999985821 -7.4697999987701, 112.4386000005906 -7.4697999987701, 112.4386000005906 -7.469599999439595, 112.4382999975479 -7.469599999439595, 112.4375000002259 -7.469500000224001, 112.4376000021394 -7.468999999649441, 112.4376999995563 -7.468800001218256, 112.4376999995563 -7.468699999304704, 112.4378000014699 -7.468299998845055, 112.4378000014699 -7.468199997830823, 112.4378000014699 -7.467799998270493, 112.4378999988869 -7.467599998939988, 112.4378999988869 -7.467500001523035, 112.4380999991167 -7.466499999474593, 112.4382000010303 -7.46640000115832))"
JAGALAN,JAGALAN,KRANGGAN,"KOTA MOJOKERTO","JAWA TIMUR",-7.46945,112.43725,"POINT(112.43725 -7.46945)","Polygon Tersedia",
KEDUNDUNG,,,,,,,,,"POLYGON((112.4668000006205 -7.467099998365426, 112.4668999980375 -7.466899999034922, 112.4668999980375 -7.466499999474593, 112.4675999988419 -7.462199999929226, 112.4675999988419 -7.462099998914994, 112.4649999994515 -7.462199999929226, 112.4649999994515 -7.46109999956451, 112.4672000001809 -7.46109999956451, 112.468199998632 -7.460800000119094, 112.4684999998761 -7.46070000180282, 112.4686999992066 -7.458700001303214, 112.4680999994165 -7.458700001303214, 112.4680999994165 -7.455200002677202, 112.4673999986121 -7.455299999194778, 112.4673999986121 -7.455099999864274, 112.4673000020945 -7.452900000034163, 112.4648999984372 -7.453200000378899, 112.4649999994515 -7.455299999194778, 112.4648000010203 -7.455400000209012, 112.4574999998262 -7.45679999911988, 112.4567999981225 -7.456900001033431, 112.4563999994615 -7.456999998450384, 112.4559999999011 -7.456999998450384, 112.4547000002059 -7.457299999694442, 112.4543999989619 -7.457299999694442, 112.4533999996113 -7.457499999024948, 112.4528999999361 -7.457600000938498, 112.4528999999361 -7.457699998355451, 112.4528999999361 -7.457800002067643, 112.4530000018497 -7.458299998145606, 112.4532000011801 -7.459199997381177, 112.4521000017147 -7.459399997611, 112.4506999992067 -7.459699999754378, 112.4499999993016 -7.459800001667929, 112.4501000012151 -7.460200000328939, 112.4501999995314 -7.461199999679422, 112.4501999995314 -7.461500000024159, 112.4503000005457 -7.462099998914994, 112.4503000005457 -7.462299999144817, 112.4497999990717 -7.462299999144817, 112.4494999978277 -7.462299999144817, 112.4492999993965 -7.462400000159051, 112.4492000001809 -7.462499998475323, 112.4489999999511 -7.462600000388875, 112.4486999996063 -7.462699997805828, 112.4486000012901 -7.462699997805828, 112.4486000012901 -7.46279999882006, 112.4486000012901 -7.462900002532308, 112.4486000012901 -7.463300001193318, 112.4486000012901 -7.463699999854327, 112.4486000012901 -7.464200001328209, 112.4485000002759 -7.464800000219042, 112.4485000002759 -7.465300000793604, 112.4483000000461 -7.465399999109877, 112.4483000000461 -7.465599998440382, 112.4483000000461 -7.465700000353934, 112.4483000000461 -7.466499999474593, 112.4483000000461 -7.466599999589505, 112.4483000000461 -7.466699998805097, 112.4486000012901 -7.466599999589505, 112.4489999999511 -7.466499999474593, 112.4490999991667 -7.46640000115832, 112.4493999995115 -7.466200000928495, 112.4494999978277 -7.466099999014943, 112.4497999990717 -7.465999998000711, 112.4497999990717 -7.466099999014943, 112.4497999990717 -7.46640000115832, 112.4499000009853 -7.466499999474593, 112.4499000009853 -7.466699998805097, 112.4499999993016 -7.467099998365426, 112.4501000012151 -7.467500001523035, 112.451499997428 -7.467399999609484, 112.451499997428 -7.467099998365426, 112.4519000023843 -7.467000000049154, 112.4519000023843 -7.466899999034922, 112.4519999998012 -7.466899999034922, 112.4521000017147 -7.466899999034922, 112.4525000003757 -7.466899999034922, 112.4528999999361 -7.466800001617969, 112.4533999996113 -7.466800001617969, 112.4536000016399 -7.466800001617969, 112.4538000000709 -7.466800001617969, 112.4543000015449 -7.466699998805097, 112.4554999993265 -7.466499999474593, 112.4557999996713 -7.46640000115832, 112.4559999999011 -7.46640000115832, 112.4563000002458 -7.46640000115832, 112.4569999992516 -7.466300000144089, 112.4574000015099 -7.466300000144089, 112.4578000010703 -7.466200000928495, 112.4579999995015 -7.466200000928495, 112.4582000015299 -7.466200000928495, 112.4587999995214 -7.466200000928495, 112.4591999981824 -7.466200000928495, 112.4595000003258 -7.466200000928495, 112.4598000015699 -7.466200000928495, 112.4598999989868 -7.466300000144089, 112.4600000009003 -7.466300000144089, 112.4600999992166 -7.466300000144089, 112.4600999992166 -7.46640000115832, 112.4600999992166 -7.466699998805097, 112.4600999992166 -7.466899999034922, 112.4600999992166 -7.467500001523035, 112.4600999992166 -7.46810000041387, 112.4600999992166 -7.468299998845055, 112.4600999992166 -7.468600001887751, 112.4600999992166 -7.468899998635209, 112.4600000009003 -7.469300001792817, 112.4598999989868 -7.469700002252523, 112.4598000015699 -7.470100000913533, 112.45960000134 -7.470499999574542, 112.4593000000959 -7.4708000008186, 112.4591000007655 -7.471099998465377, 112.4586000001909 -7.471500001622986, 112.4579999995015 -7.472000000398907, 112.4574999998262 -7.472699999404653, 112.4572999995963 -7.473000001548031, 112.4574000015099 -7.473000001548031, 112.4579999995015 -7.473000001548031, 112.4585000009753 -7.472899999634478, 112.4589999988519 -7.472899999634478, 112.4595000003258 -7.472800001318205, 112.4598999989868 -7.472800001318205, 112.4598999989868 -7.473099998964984, 112.4598999989868 -7.473200000878535, 112.4600999992166 -7.473200000878535, 112.460499998777 -7.473200000878535, 112.4607000017048 -7.473200000878535, 112.4609000010353 -7.473200000878535, 112.4609999993515 -7.473099998964984, 112.4611000003657 -7.473099998964984, 112.461199998682 -7.473099998964984, 112.4613000005957 -7.473099998964984, 112.4613999989118 -7.473099998964984, 112.4614999999261 -7.473099998964984, 112.4620000022993 -7.473099998964984, 112.4624999983773 -7.473099998964984, 112.4629000015349 -7.473099998964984, 112.4631000008654 -7.473099998964984, 112.4633000010953 -7.473000001548031, 112.4635999978427 -7.473000001548031, 112.4640000010003 -7.473099998964984, 112.4644000005607 -7.473200000878535, 112.4646000007905 -7.473200000878535, 112.4648000010203 -7.473200000878535, 112.4648000010203 -7.473099998964984, 112.465100001365 -7.471299998695201, 112.4642999995464 -7.470899999134872, 112.465100001365 -7.470899999134872, 112.465600000141 -7.467900000184044, 112.4656999993565 -7.467099998365426, 112.4668000006205 -7.467099998365426))"
KEDUNDUNG,KEDUNDUNG,MAGERSARI,"KOTA MOJOKERTO","JAWA TIMUR",-7.46305,112.4585,"POINT(112.4585 -7.46305)","Polygon Tersedia",
