PlacemarkName,Kelurahan,Polygon
BLOOTO,"BLOOTO 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: acsasc 
 Center Longitude: 112.41334999999999 
 KolomG:  
 Status Polygon: Polygon Tersedia",
GEDONGAN,"GEDONGAN 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.46275 
 Center Longitude: 112.4385 
 KolomG:  
 Status Polygon: Polygon Tersedia",
"GUNUNG GEDANGAN","GUNUNG GEDANGAN 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.47455 
 Center Longitude: 112.45444999999999 
 KolomG:  
 Status Polygon: Polygon Tersedia",
JAGALAN,"JAGALAN 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: acsasccasacs 
 Center Longitude: 112.43725000000001 
 KolomG:  
 Status Polygon: Polygon Tersedia",
KEDUNDUNG,"KEDUNDUNG 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.46305 
 Center Longitude: 112.4585 
 KolomG:  
 Status Polygon: Polygon Tersedia",
MAGERSARI,"MAGERSARI 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.45945 
 Center Longitude: 112.43825 
 KolomG:  
 Status Polygon: Polygon Tersedia",
MENTIKAN,"MENTIKAN 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.46745 
 Center Longitude: 112.42795 
 KolomG:  
 Status Polygon: Polygon Tersedia",
MERI,"MERI 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.48105 
 Center Longitude: 112.4481 
 KolomG:  
 Status Polygon: Polygon Tersedia",
MIJI,"MIJI 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.47635 
 Center Longitude: 112.43519999999999 
 KolomG:  
 Status Polygon: Polygon Tersedia",
"PRAJURIT KULON","PRAJURIT KULON 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.47505 
 Center Longitude: 112.4238 
 KolomG:  
 Status Polygon: Polygon Tersedia",
PULOREJO,"PULOREJO 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: acsasccasacsacs 
 Center Longitude: 112.42149999999999 
 KolomG:  
 Status Polygon: Polygon Tersedia",
PURWOTENGAH,"PURWOTENGAH 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.4647 
 Center Longitude: 112.43575 
 KolomG:  
 Status Polygon: Polygon Tersedia",
SENTANAN,"SENTANAN 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.46905 
 Center Longitude: 112.43355 
 KolomG:  
 Status Polygon: Polygon Tersedia",
SURODINAWAN,"SURODINAWAN 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.4873 
 Center Longitude: 112.4198 
 KolomG:  
 Status Polygon: Polygon Tersedia",
WATES,"WATES 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.45515 
 Center Longitude: 112.44974999999999 
 KolomG:  
 Status Polygon: Polygon Tersedia",
BALONGSARI,"BALONGSARI 
 Kecamatan: MAGERSARI 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.4685 
 Center Longitude: 112.44305 
 KolomG:  
 Status Polygon: Polygon Tersedia",
KAUMAN,"KAUMAN 
 Kecamatan: PRAJURIT KULON 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: cas 
 Center Longitude: 112.4302 
 KolomG:  
 Status Polygon: Polygon Tersedia",
KRANGGAN,"KRANGGAN 
 Kecamatan: KRANGGAN 
 Kota: KOTA MOJOKERTO 
 Provinsi: JAWA TIMUR 
 acsacsacs: -7.48015 
 Center Longitude: 112.43585 
 KolomG:  
 Status Polygon: Polygon Tersedia",
